Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,9.960000,10.130000,9.810000,9.880000,9.880000,49727700
2019-03-26,9.950000,10.150000,9.930000,10.100000,10.100000,47624800
2019-03-27,10.080000,10.180000,9.900000,9.960000,9.960000,55148300
2019-03-28,9.960000,10.010000,9.800000,9.890000,9.890000,45199400
2019-03-29,9.980000,10.030000,9.920000,9.990000,9.990000,48519100
2019-04-01,10.020000,10.130000,10.000000,10.100000,10.100000,51346000
2019-04-02,10.060000,10.280000,10.040000,10.240000,10.240000,51748200
2019-04-03,10.260000,10.280000,10.000000,10.100000,10.100000,56139500
2019-04-04,10.100000,10.120000,9.970000,10.030000,10.030000,41034100
2019-04-05,10.070000,10.140000,9.980000,10.010000,10.010000,43257200
2019-04-08,9.510000,9.540000,9.150000,9.490000,9.490000,176008200
2019-04-09,9.350000,9.410000,9.120000,9.220000,9.220000,83170700
2019-04-10,9.250000,9.260000,9.080000,9.160000,9.160000,53871400
2019-04-11,9.120000,9.260000,9.100000,9.120000,9.120000,54814800
2019-04-12,9.150000,9.210000,8.990000,9.000000,9.000000,68461200
2019-04-15,9.010000,9.050000,8.790000,8.980000,8.980000,82946700
2019-04-16,9.040000,9.190000,8.990000,9.140000,9.140000,60236000
2019-04-17,9.160000,9.180000,9.060000,9.120000,9.120000,48065100
2019-04-18,9.130000,9.350000,9.100000,9.350000,9.350000,51509100
2019-04-22,9.250000,9.350000,9.180000,9.320000,9.320000,67114800
